season,league,group,model,metric,value
2019/2020,all,total_goals,model,MAE,1.2882
2019/2020,all,total_goals,model,RMSE,1.6136
2019/2020,all,total_goals,model,bias (mean pred - actual),-0.0537
2019/2020,all,total_goals,model,Poisson NLL,1.8573
2019/2020,all,total_goals,model,mean Poisson deviance,1.0862
2019/2020,all,total_goals,naive,MAE,1.2899
2019/2020,all,total_goals,naive,RMSE,1.6043
2019/2020,all,total_goals,naive,bias (mean pred - actual),0.0474
2019/2020,all,total_goals,naive,Poisson NLL,1.851
2019/2020,all,total_goals,naive,mean Poisson deviance,1.0735
2019/2020,all,per_side_goals,model,MAE,0.9073
2019/2020,all,per_side_goals,model,RMSE,1.1643
2019/2020,all,per_side_goals,model,bias (mean pred - actual),-0.0268
2019/2020,all,per_side_goals,model,Poisson NLL,1.4592
2019/2020,all,per_side_goals,model,mean Poisson deviance,1.1582
2019/2020,all,over_under_2.5,model,Over2.5 base rate,0.5015
2019/2020,all,over_under_2.5,model,Over2.5 mean predicted P,0.4801
2019/2020,all,over_under_2.5,model,Over2.5 Brier,0.2527
2019/2020,all,over_under_2.5,model,Over2.5 accuracy @0.5,0.5173
2019/2020,all,over_under_2.5,model,Over2.5 majority-class accuracy,0.5015
2020/2021,all,total_goals,model,MAE,1.3168
2020/2021,all,total_goals,model,RMSE,1.6341
2020/2021,all,total_goals,model,bias (mean pred - actual),0.1089
2020/2021,all,total_goals,model,Poisson NLL,1.8546
2020/2021,all,total_goals,model,mean Poisson deviance,1.1593
2020/2021,all,total_goals,naive,MAE,1.3239
2020/2021,all,total_goals,naive,RMSE,1.6393
2020/2021,all,total_goals,naive,bias (mean pred - actual),0.1553
2020/2021,all,total_goals,naive,Poisson NLL,1.8579
2020/2021,all,total_goals,naive,mean Poisson deviance,1.1658
2020/2021,all,per_side_goals,model,MAE,0.9242
2020/2021,all,per_side_goals,model,RMSE,1.1741
2020/2021,all,per_side_goals,model,bias (mean pred - actual),0.0544
2020/2021,all,per_side_goals,model,Poisson NLL,1.4547
2020/2021,all,per_side_goals,model,mean Poisson deviance,1.2255
2020/2021,all,over_under_2.5,model,Over2.5 base rate,0.4555
2020/2021,all,over_under_2.5,model,Over2.5 mean predicted P,0.4893
2020/2021,all,over_under_2.5,model,Over2.5 Brier,0.2492
2020/2021,all,over_under_2.5,model,Over2.5 accuracy @0.5,0.535
2020/2021,all,over_under_2.5,model,Over2.5 majority-class accuracy,0.5445
2021/2022,all,total_goals,model,MAE,1.2985
2021/2022,all,total_goals,model,RMSE,1.6047
2021/2022,all,total_goals,model,bias (mean pred - actual),-0.0015
2021/2022,all,total_goals,model,Poisson NLL,1.853
